request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Plan full_payment completes 15656000 while maintaining the minimum balance; safe today: 15656000.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Plan full_payment completes 6670 while maintaining the minimum balance; safe today: 6670.
request_28,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Plan full_payment completes 51524 while maintaining the minimum balance; safe today: 51524.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Plan installments completes 775.2 while maintaining the minimum balance; safe today: 775.2.
request_31,6836010,not_affordable,not_recommended,none,,none,Safe amount today is 6836010; the full amount is not safe within the requested plan.
request_32,28276.6,not_affordable,not_recommended,none,,none,Safe amount today is 28276.6; the full amount is not safe within the requested plan.
request_33,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Plan full_payment completes 129400 while maintaining the minimum balance; safe today: 129400.
request_35,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_36,644.6,not_affordable,not_recommended,none,,none,Safe amount today is 644.6; the full amount is not safe within the requested plan.
request_37,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_38,186.4,not_affordable,not_recommended,none,,none,Safe amount today is 186.4; the full amount is not safe within the requested plan.
request_39,191640,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Plan wait completes 208600 while maintaining the minimum balance; safe today: 191640.
request_40,443.3,not_affordable,not_recommended,none,,none,Safe amount today is 443.3; the full amount is not safe within the requested plan.
request_41,19533900,not_affordable,not_recommended,none,,none,Safe amount today is 19533900; the full amount is not safe within the requested plan.
request_42,37920,not_affordable,not_recommended,none,,none,Safe amount today is 37920; the full amount is not safe within the requested plan.
request_43,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_44,58920,not_affordable,not_recommended,none,,none,Safe amount today is 58920; the full amount is not safe within the requested plan.
request_45,1007000,not_affordable,not_recommended,none,,none,Safe amount today is 1007000; the full amount is not safe within the requested plan.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Plan installments completes 49450 while maintaining the minimum balance; safe today: 49450.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Plan full_payment completes 38114000 while maintaining the minimum balance; safe today: 38114000.
request_48,30785,not_affordable,not_recommended,none,,none,Safe amount today is 30785; the full amount is not safe within the requested plan.
